filing_date,quarter,symbol,percentage,value,price_before,price_after,price_change_pct,hld_pct_change
2019-05-15,Q1 2019,CMG,19.7,1323102,14.063599586486816,14.178600311279297,0.8177189921062623,57.88467550816332
2019-08-14,Q2 2019,CMG,19.5,1306513,16.33919906616211,16.197799682617188,-0.8653997235259524,-1.253796003633889
2019-11-14,Q3 2019,CMG,23.1,1449231,15.065999984741213,15.093199729919434,0.1805372707139948,10.92358055373348
2020-02-14,Q4 2019,CMG,22.0,1443437,18.25900077819824,18.55120086669922,1.6003071145594758,-0.3997982378240561
2020-05-15,Q1 2020,CMG,11.6,759910,18.643600463867188,19.971599578857425,7.123082891440441,-47.35412768274612
2020-08-14,Q2 2020,CMG,15.8,1222034,23.89859962463379,24.32439994812012,1.7816957067535828,60.81299101209354
2020-10-23,Q3 2020,CMG,16.4,1444236,26.005800247192383,26.239599227905277,0.8990262883301653,18.18296381279081
2021-02-16,Q4 2020,CMG,16.1,1610292,30.554000854492188,29.190000534057617,-4.464228193650878,11.497843842696076
2021-05-17,Q1 2021,CMG,14.8,1543204,27.12420082092285,26.49020004272461,-2.3373989242447712,-4.166200912629514
2021-08-16,Q2 2021,CMG,15.7,1683880,37.75619888305664,37.3922004699707,-0.9640758970821196,9.115839513116875
2021-11-15,Q3 2021,CMG,21.4,2026035,37.2599983215332,36.55080032348633,-1.9033763553258596,20.319440815260002
2022-02-14,Q4 2021,CMG,18.4,1948818,31.22960090637207,31.339799880981445,0.3528670601323312,-3.8112372194952227
2022-05-16,Q1 2022,CMG,17.0,1763528,26.3656005859375,26.441200256347656,0.2867360072596961,-9.507814480367072
2022-08-15,Q2 2022,CMG,19.4,1444794,33.27399826049805,34.29359817504883,3.06425427617222,-18.07365689685676
2022-11-14,Q3 2022,CMG,21.1,1660862,30.12700080871582,30.46940040588379,1.1365206890056962,14.95493475194387
2023-02-13,Q4 2022,CMG,17.5,1533465,31.67779922485352,32.89039993286133,3.82791967144119,-7.670534939085849
2023-05-15,Q1 2023,CMG,17.2,1758148,40.91260147094727,41.00439834594727,0.2243731068169462,14.651980971199219
2023-08-14,Q2 2023,CMG,18.9,2039767,36.930999755859375,36.96319961547852,0.0871892443529961,16.01793478137221
2023-11-14,Q3 2023,CMG,16.6,1746847,43.00859832763672,43.1161994934082,0.2501852419178734,-14.360463719630722
2024-02-14,Q4 2023,CMG,18.1,1886737,51.9827995300293,52.36000061035156,0.7256267144757469,8.008142670766238
2024-05-15,Q1 2024,CMG,20.1,2162590,63.53340148925781,62.917598724365234,-0.9692582963572284,14.62063870057142
2024-08-14,Q2 2024,CMG,17.3,1805270,51.68000030517578,53.970001220703125,4.431116296448626,-16.522780554797723
2024-11-14,Q3 2024,CMG,12.9,1660329,59.27000045776367,58.630001068115234,-1.0798032473519328,-8.028771319525607
2025-02-14,Q4 2024,CMG,11.8,1486608,58.130001068115234,54.4900016784668,-6.261825774582698,-10.463046781692064
2025-05-15,Q1 2025,CMG,9.1,1081582,52.2400016784668,52.31999969482422,0.1531355547226118,-27.244976483376927
2014-02-14,Q4 2013,CP.TO,31.5,2596634,30.878314971923828,31.1503963470459,0.881140617191906,
2014-05-15,Q1 2014,CP.TO,30.8,2581362,31.83711051940918,31.637157440185547,-0.6280503348497452,-0.5881460382941905
2014-08-14,Q2 2014,CP.TO,20.0,2524784,37.89072799682617,38.76485443115234,2.306966586652521,-2.1917886759005523
2014-11-14,Q3 2014,CP.TO,21.5,2892316,42.92789840698242,42.06699752807617,-2.005457781194852,14.556968041622564
2015-02-17,Q4 2014,CP.TO,16.7,2686270,42.35309982299805,43.69028854370117,3.157239319651927,-7.123910388768029
2015-05-15,Q1 2015,CP.TO,17.0,2547001,39.14192199707031,38.92602157592773,-0.5515835966326278,-5.1844751272210114
2015-08-14,Q2 2015,CP.TO,15.5,2233749,37.84843063354492,37.71281433105469,-0.3583142027823953,-12.298856576813277
2015-11-16,Q3 2015,CP.TO,14.3,2001494,33.2530632019043,33.906673431396484,1.9655639708246704,-10.397542427551166
2016-02-16,Q4 2015,CP.TO,14.3,1778858,31.587926864624023,32.68434143066406,3.470992479939975,-11.12349075240795
2016-05-16,Q1 2016,CP.TO,20.9,1849817,31.864545822143555,31.693124771118164,-0.5379679722479063,3.9890199217700317
2016-08-15,Q2 2016,CP.TO,16.9,1267408,35.37086486816406,35.47440719604492,0.2927333789173297,-31.484681998273345
2022-05-16,Q1 2022,CP.TO,2.3,243019,87.54991912841797,89.62374114990234,2.368730939022912,-80.82551159531894
2022-08-15,Q2 2022,CP.TO,2.8,205627,101.6820068359375,103.50527954101562,1.7931124314058338,-15.386451265127421
2022-11-14,Q3 2022,CP.TO,12.9,1016616,100.0125961303711,98.41153717041016,-1.600857313886625,394.398109197722
2023-02-13,Q4 2022,CP.TO,12.9,1136531,104.61897277832033,104.65833282470705,0.0376222833597493,11.795505874391111
2023-05-15,Q1 2023,CP.TO,11.5,1172415,109.47576904296876,110.08702850341795,0.5583513738179836,3.1573269888810707
2023-08-14,Q2 2023,CP.TO,11.3,1219265,107.83753967285156,105.22999572753906,-2.418029893136516,3.9960252982092603
2023-11-14,Q3 2023,CP.TO,10.7,1123258,94.89151000976562,96.85090637207033,2.0648805800466645,-7.87417009427811
2024-02-14,Q4 2023,CP.TO,11.5,1193452,111.5693588256836,114.42452239990234,2.5590929304161985,6.249143117609668
2024-05-15,Q1 2024,CP.TO,12.4,1330972,110.15967559814452,110.50721740722656,0.3154891362878024,11.522876496080281
2024-08-14,Q2 2024,CP.TO,11.3,1178244,105.76785278320312,108.47348022460938,2.558081090056815,-11.474922087016104
2024-11-14,Q3 2024,CP.TO,9.9,1272634,106.09164428710938,103.90962982177734,-2.0567260315307943,8.01107410689128
2025-02-14,Q4 2024,CP.TO,8.5,1076695,110.7645034790039,112.3116226196289,1.39676438934091,-15.396335474299761
2025-05-15,Q1 2025,CP.TO,8.7,1039093,113.63999938964844,114.0,0.3167904015180373,-3.4923539163830064
