filing_date,quarter,symbol,percentage,value,price_before,price_after,price_change_pct,hld_pct_change
2015-02-17,Q4 2014,0LQ0.IL,4.0,337065,,,,3.9836249660653023
2015-05-15,Q1 2015,0LQ0.IL,5.1,469572,,,,39.31200213608652
2015-08-14,Q2 2015,0LQ0.IL,3.4,335131,,,,-28.630540151457073
2015-11-16,Q3 2015,0LQ0.IL,3.6,292953,,,,-12.585526256896562
2016-02-16,Q4 2015,0LQ0.IL,6.1,755865,,,,158.01579092892032
2016-11-14,Q3 2016,0LQ0.IL,1.5,107099,,,,-85.83093541836175
2017-02-14,Q4 2016,0LQ0.IL,0.7,55253,,,,-48.40941558744712
2018-05-15,Q1 2018,0XWG.IL,0.1,15550,,,,
2018-08-14,Q2 2018,0XWG.IL,0.2,32300,,,,107.7170418006431
2018-11-14,Q3 2018,0XWG.IL,0.1,27070,,,,-16.19195046439629
2019-02-14,Q4 2018,0XWG.IL,0.1,14870,,,,-45.06834133727373
2019-05-15,Q1 2019,0XWG.IL,0.1,23920,,,,60.860793544048434
2019-08-14,Q2 2019,0XWG.IL,0.1,20650,,,,-13.670568561872908
2019-11-14,Q3 2019,0XWG.IL,0.1,16130,,,,-21.888619854721547
2020-02-14,Q4 2019,0XWG.IL,0.1,21110,,,,30.874147551146926
2020-05-15,Q1 2020,0XWG.IL,0.1,17800,,,,-15.679772619611555
2014-11-14,Q3 2014,217A.SG,0.5,36000,16.349000930786133,16.371999740600586,0.1406740993643532,
2014-02-14,Q4 2013,AABA,4.5,364019,,,,
2016-02-16,Q4 2015,AAPL,9.0,1115756,21.35167694091797,22.289894104003903,4.394114643463695,
2016-05-16,Q1 2016,AAPL,8.9,616584,20.68859100341797,21.367395401000977,3.28105668225962,-44.738455361208004
2016-08-15,Q2 2016,AAPL,2.6,131909,24.858781814575195,25.134531021118164,1.1092627490752245,-78.60648346372919
2016-11-14,Q3 2016,AAPL,5.9,407637,25.04415512084961,24.7392692565918,-1.2173932911156216,209.02895177736167
2018-11-14,Q3 2018,AAPL,1.1,231158,45.7907829284668,45.5954475402832,-0.4265823287816279,-43.29317505525749
2023-05-15,Q1 2023,AAPL,1.3,140329,170.85931396484375,170.3643035888672,-0.289718110467432,-39.29303766255116
2014-08-14,Q2 2014,ABMD,0.5,42487,,,,
2014-11-14,Q3 2014,ABMD,0.6,41963,,,,-1.2333184268129127
2021-02-16,Q4 2020,ABNB,0.2,95420,212.67999267578125,201.9600067138672,-5.040429909293858,
2021-05-17,Q1 2021,ABNB,0.3,122161,141.1999969482422,135.02000427246094,-4.376765445714965,28.02452316076294
2021-08-16,Q2 2021,ABNB,0.2,99541,152.75999450683594,143.89999389648438,-5.799948238381929,-18.516547834415242
2021-11-15,Q3 2021,ABNB,0.2,109038,206.5399932861328,207.0399932861328,0.2420838657176281,9.540792236364926
2022-02-14,Q4 2021,ABNB,0.2,108219,166.52999877929688,180.07000732421875,8.130672337820961,-0.7511142904308543
2018-08-14,Q2 2018,ADBE,0.4,69973,253.5399932861328,250.5200042724609,-1.1911292473151025,
2018-11-14,Q3 2018,ADBE,0.7,141184,238.7400054931641,239.9499969482422,0.5068239202636574,101.7692538550584
